county,ward,total,Screnock,Dallet,SCATTERING
,City of MILWAUKEE Ward 222,37,10,27,0
,City of MILWAUKEE Ward 223,60,23,37,0
,City of MILWAUKEE Ward 224,50,15,34,1
,City of MILWAUKEE Ward 225,46,18,27,1
,City of MILWAUKEE Ward 226,30,6,24,0
,City of MILWAUKEE Ward 227,109,27,82,0
,City of MILWAUKEE Ward 228,36,4,32,0
,City of MILWAUKEE Ward 229,25,6,19,0
,City of MILWAUKEE Ward 230,76,12,64,0
,City of MILWAUKEE Ward 231,32,6,26,0
,City of MILWAUKEE Ward 232,24,8,16,0
,City of MILWAUKEE Ward 233,30,4,26,0
,City of MILWAUKEE Ward 234,68,9,58,1
,City of MILWAUKEE Ward 235,364,54,310,0
,City of MILWAUKEE Ward 236,76,15,61,0
,City of MILWAUKEE Ward 237,55,14,40,1
,City of MILWAUKEE Ward 238,34,7,27,0
,City of MILWAUKEE Ward 239,64,14,50,0
,City of MILWAUKEE Ward 240,104,18,86,0
,City of MILWAUKEE Ward 241,295,39,255,1
,City of MILWAUKEE Ward 242,325,41,283,1
,City of MILWAUKEE Ward 243,511,93,418,0
,City of MILWAUKEE Ward 244,383,61,321,1
,City of MILWAUKEE Ward 245,328,65,262,1
,City of MILWAUKEE Ward 246,568,84,483,1
,City of MILWAUKEE Ward 247,247,41,206,0
,City of MILWAUKEE Ward 248,456,74,382,0
,City of MILWAUKEE Ward 249,61,25,36,0
,City of MILWAUKEE Ward 250,47,9,38,0
,City of MILWAUKEE Ward 251,31,13,18,0
,City of MILWAUKEE Ward 252,67,21,46,0
,City of MILWAUKEE Ward 253,26,10,16,0
,City of MILWAUKEE Ward 254,15,8,7,0
,City of MILWAUKEE Ward 255,32,12,20,0
,City of MILWAUKEE Ward 256,19,5,14,0
,City of MILWAUKEE Ward 257,61,22,38,1
,City of MILWAUKEE Ward 258,148,60,88,0
,City of MILWAUKEE Ward 259,51,15,35,1
,City of MILWAUKEE Ward 260,78,25,53,0
,City of MILWAUKEE Ward 261,166,64,102,0
,City of MILWAUKEE Ward 262,305,111,192,2
,City of MILWAUKEE Ward 263,129,54,75,0
,City of MILWAUKEE Ward 264,338,144,194,0
,City of MILWAUKEE Ward 265,160,66,94,0
,City of MILWAUKEE Ward 266,201,101,100,0
,City of MILWAUKEE Ward 267,168,65,103,0
,City of MILWAUKEE Ward 268,335,155,179,1
,City of MILWAUKEE Ward 269,220,90,128,2
,City of MILWAUKEE Ward 270,263,136,127,0
,City of MILWAUKEE Ward 271,425,196,229,0
,City of MILWAUKEE Ward 272,307,150,157,0
,City of MILWAUKEE Ward 273,161,86,75,0
,City of MILWAUKEE Ward 274,164,78,86,0
,City of MILWAUKEE Ward 275,288,145,143,0
,City of MILWAUKEE Ward 276,430,194,236,0
,City of MILWAUKEE Ward 277,338,151,187,0
,City of MILWAUKEE Ward 278,175,92,83,0
,City of MILWAUKEE Ward 279,288,130,157,1
,City of MILWAUKEE Ward 280,485,183,301,1
,City of MILWAUKEE Ward 281,198,79,119,0
,City of MILWAUKEE Ward 282,37,14,23,0
,City of MILWAUKEE Ward 283,127,57,69,1
,City of MILWAUKEE Ward 284,110,34,76,0
,City of MILWAUKEE Ward 285,21,7,14,0
,City of MILWAUKEE Ward 286,106,43,62,1
,City of MILWAUKEE Ward 287,134,52,82,0
,City of MILWAUKEE Ward 288,245,97,148,0
,City of MILWAUKEE Ward 289,148,47,100,1
,City of MILWAUKEE Ward 290,78,36,42,0
,City of MILWAUKEE Ward 291,87,27,60,0
,City of MILWAUKEE Ward 292,171,48,122,1
,City of MILWAUKEE Ward 293,262,91,171,0
,City of MILWAUKEE Ward 294,230,69,161,0
,City of MILWAUKEE Ward 295,225,52,173,0
,City of MILWAUKEE Ward 296,367,108,259,0
,City of MILWAUKEE Ward 297,375,76,299,0
,City of MILWAUKEE Ward 298,315,66,249,0
,City of MILWAUKEE Ward 299,358,91,267,0
,City of MILWAUKEE Ward 300,609,116,492,1
,City of MILWAUKEE Ward 301,402,119,282,1
,City of MILWAUKEE Ward 302,252,93,159,0
,City of MILWAUKEE Ward 303,456,154,302,0
,City of MILWAUKEE Ward 304,242,91,151,0
,City of MILWAUKEE Ward 305,243,86,156,1
,City of MILWAUKEE Ward 306,221,69,151,1
,City of MILWAUKEE Ward 307,184,81,103,0
,City of MILWAUKEE Ward 308,108,48,59,1
,City of MILWAUKEE Ward 309,295,146,149,0
,City of MILWAUKEE Ward 310,55,29,25,1
,City of MILWAUKEE Ward 311,145,78,67,0
,City of MILWAUKEE Ward 312,323,148,174,1
,City of MILWAUKEE Ward 313,494,240,254,0
,City of MILWAUKEE Ward 314,204,103,100,1
,City of MILWAUKEE Ward 315,364,170,192,2
,City of MILWAUKEE Ward 316,208,103,105,0
,City of MILWAUKEE Ward 317,250,103,146,1
,City of MILWAUKEE Ward 320,7,0,7,0
,City of MILWAUKEE Ward 321,28,9,19,0
,City of MILWAUKEE Ward 322,14,5,9,0
,City of MILWAUKEE Ward 323,29,7,22,0
,City of MILWAUKEE Ward 324,4,2,2,0
,City of MILWAUKEE Ward 325,124,14,110,0
,City of MILWAUKEE Ward 326,0,0,0,0
,City of MILWAUKEE Ward 327,0,0,0,0
,City of OAK CREEK Wards 1-2,652,343,307,2
,City of OAK CREEK Ward 3,364,175,189,0
,City of OAK CREEK Wards 4-6,720,354,366,0
,City of OAK CREEK Wards 7-9,"1,061",565,495,1
,City of OAK CREEK Ward 10,322,142,178,2
,City of OAK CREEK Wards 11-12,756,436,320,0
,City of OAK CREEK Wards 13-15,"1,122",646,475,1
,City of OAK CREEK Wards 16-19,722,337,385,0
,City of ST. FRANCIS Ward 1-4,584,245,338,1
,City of ST. FRANCIS Ward 5-8,611,249,361,1
,City of ST. FRANCIS Ward 9-12,742,267,474,1
,City of SOUTH MILWAUKEE Wards 1-4,"1,002",445,555,2
,City of SOUTH MILWAUKEE Wards 5-8,687,309,378,0
,City of SOUTH MILWAUKEE Wards 9-12,974,471,502,1
,City of SOUTH MILWAUKEE Wards 13-16,857,401,456,0
,City of WAUWATOSA Ward 1,599,192,407,0
,City of WAUWATOSA Ward 2,491,125,366,0
,City of WAUWATOSA Ward 3,555,208,347,0
,City of WAUWATOSA Ward 4,782,285,496,1
,City of WAUWATOSA Ward 5,350,131,219,0
,City of WAUWATOSA Ward 6,369,115,254,0
,City of WAUWATOSA Ward 7,619,244,374,1
,City of WAUWATOSA Ward 8,349,148,201,0
,City of WAUWATOSA Ward 9,457,225,231,1
,City of WAUWATOSA Ward 10,367,118,249,0
,City of WAUWATOSA Ward 11,488,132,356,0
,City of WAUWATOSA Ward 12,676,262,414,0
,City of WAUWATOSA Ward 13,285,93,192,0
,City of WAUWATOSA Ward 14,602,163,439,0
,City of WAUWATOSA Ward 15,567,132,433,2
,City of WAUWATOSA Ward 16,589,233,356,0
,City of WAUWATOSA Ward 17,532,267,265,0
,City of WAUWATOSA Ward 18,385,168,217,0
,City of WAUWATOSA Ward 19,422,193,227,2
,City of WAUWATOSA Ward 20,578,281,297,0
,City of WAUWATOSA Ward 21,391,182,209,0
,City of WAUWATOSA Ward 22,499,189,310,0
,City of WAUWATOSA Ward 23,397,188,209,0
,City of WAUWATOSA Ward 24,360,139,221,0
,City of WEST ALLIS Ward 1,213,90,123,0
,City of WEST ALLIS Ward 2,256,101,154,1
,City of WEST ALLIS Ward 3,160,64,96,0
,City of WEST ALLIS Ward 4,333,148,185,0
,City of WEST ALLIS Ward 5,281,134,147,0
,City of WEST ALLIS Ward 6,265,117,147,1
,City of WEST ALLIS Ward 7,349,145,204,0
,City of WEST ALLIS Ward 8,278,103,175,0
,City of WEST ALLIS Ward 9,338,150,188,0
,City of WEST ALLIS Ward 10,275,133,142,0
,City of WEST ALLIS Ward 11,376,161,214,1
,City of WEST ALLIS Ward 12,348,171,177,0
,City of WEST ALLIS Ward 13,514,251,263,0
,City of WEST ALLIS Ward 14,206,83,123,0
,City of WEST ALLIS Ward 15,259,122,137,0
,City of WEST ALLIS Ward 16,264,118,145,1
,City of WEST ALLIS Ward 17,340,180,160,0
,City of WEST ALLIS Ward 18,453,218,235,0
,City of WEST ALLIS Ward 19,495,256,239,0
,City of WEST ALLIS Ward 20,286,111,175,0
,City of WEST ALLIS Ward 21,334,165,168,1
,City of WEST ALLIS Ward 22,295,136,158,1
,City of WEST ALLIS Ward 23,415,231,184,0
,City of WEST ALLIS Ward 24,207,93,114,0
,City of WEST ALLIS Ward 25,441,232,209,0
,County Totals:,"130,850","44,747","85,948",155
MONROE ,Town of ADRIAN Ward 1,117,70,46,1
,Town of ANGELO Wards 1-3,184,97,87,0
,Town of BYRON Ward 1,99,55,44,0
,Town of CLIFTON Ward 1,98,46,52,0
,Town of GLENDALE Ward 1,137,80,57,0
,Town of GRANT Ward 1,60,37,23,0
,Town of GREENFIELD Wards 1-2,109,66,42,1
,Town of JEFFERSON Ward 1,62,34,28,0
,Town of LAFAYETTE Wards 1-2,74,45,29,0
,Town of LA GRANGE Wards 1A-1B,109,59,50,0
,"Town of LA GRANGE Wards 2A-2B,3A-3B",101,56,45,0
,Town of LEON Wards 1-2,212,122,90,0
,Town of LINCOLN Ward 1,98,68,30,0
,Town of LITTLE FALLS Wards 1-2,254,131,123,0
,Town of NEW LYME Ward 1,44,23,21,0
,Town of OAKDALE Ward 1,73,48,25,0
,Town of PORTLAND Ward 1,115,66,49,0
,Town of RIDGEVILLE Ward 1,92,35,57,0
,Town of SCOTT Ward 1,18,16,2,0
,Town of SHELDON Ward 1,65,44,21,0
,Town of SPARTA Wards 1-6,672,358,314,0
,Town of TOMAH Wards 1-2,201,113,88,0
,Town of WELLINGTON Wards 1-2,73,23,49,1
,Town of WELLS Ward 1,114,65,49,0
,Town of WILTON Wards 1-5,52,28,24,0
,Village of CASHTON Wards 1-3,139,66,73,0
,Village of KENDALL Ward 1,77,34,42,1
,Village of MELVINA Ward 1,10,6,4,0
,Village of NORWALK Ward 1,93,63,30,0
,Village of OAKDALE Ward 1,20,10,10,0
,VILLAGE OF ONTARIO Ward 2,0,0,0,0
,VILLAGE OF ROCKLAND Ward 2,0,0,0,0
,Village of WARRENS Ward 1,49,35,14,0
,Village of WILTON Ward 1,66,29,37,0
,Village of WYEVILLE Ward 1,21,10,11,0
,City of SPARTA Wards 1-6,552,242,310,0
,"City of SPARTA Wards 7-12,17-19",461,214,244,3
,"City of SPARTA Wards 13-16,20-21",407,178,229,0
,City of TOMAH Wards 1-6,280,126,154,0
,"City of TOMAH Wards 7-8,14-17,19-21",389,169,220,0
,"City of TOMAH Wards 9-13,18",466,204,262,0
,County Totals:,"6,263","3,171","3,085",7
OCONTO ,Town of ABRAMS Ward 1-3,236,134,102,0
,Town of BAGLEY Ward 1,57,34,23,0
,Town of BRAZEAU Ward 1-3,343,211,131,1
,Town of BREED Ward 1,78,52,26,0
,Town of CHASE Wards 1-5,338,173,165,0
,Town of DOTY Ward 1,66,39,27,0
,Town of GILLETT Wards 1-2,195,139,56,0
,Town of HOW Wards 1-2,95,60,35,0
,Town of LAKEWOOD Ward 1,174,101,73,0
,Town of LENA Ward 1,101,67,34,0
,Town of LITTLE RIVER Ward 1-2,126,75,51,0
,Town of LITTLE SUAMICO Ward 1-8,588,358,230,0
,Town of MAPLE VALLEY Ward 1,96,62,34,0
,Town of MORGAN Ward 1-2,208,122,84,2
,Town of MOUNTAIN Ward 1,123,62,61,0
,Town of OCONTO Ward 1-3,213,115,98,0
,Town of OCONTO FALLS Ward 1-2,187,99,87,1
,Town of PENSAUKEE Ward 1-2,180,96,84,0
,Town of RIVERVIEW Ward 1-2,106,44,62,0
,Town of SPRUCE Ward 1-2,115,77,38,0
,Town of STILES Ward 1-2,179,104,74,1
,Town of TOWNSEND Ward 1,200,92,108,0
,Town of UNDERHILL Ward 1,106,70,36,0
,Village of LENA Ward 1,66,27,39,0
,VILLAGE OF PULASKI Ward 5,0,0,0,0
,Village of SURING Ward 1,82,43,39,0
,City of GILLETT Ward 1-3,302,151,151,0
,City of OCONTO Wards 1-7,505,203,301,1
,City of OCONTO FALLS Ward 1-6,272,133,139,0
,County Totals:,"5,337","2,943","2,388",6
ONEIDA ,Town of CASSIAN Ward 1,81,43,38,0
,Town of CASSIAN Ward 2,129,65,64,0
,"Town of CRESCENT Wards 1,3",342,154,188,0
,Town of CRESCENT Ward 2,17,11,6,0
,Town of ENTERPRISE Ward 1,116,68,48,0
,Town of HAZELHURST Wards 1-2,282,118,164,0
,Town of LAKE TOMAHAWK Ward 1,137,65,72,0
,Town of LAKE TOMAHAWK Ward 2,46,30,16,0
,Town of LITTLE RICE Ward 1,60,37,23,0
,Town of LYNNE Ward 1,40,22,18,0
,"Town of MINOCQUA Wards 1,4",208,100,108,0
,"Town of MINOCQUA Wards 2-3,7",328,167,161,0
,Town of MINOCQUA Wards 5-6,370,203,165,2
,Town of MONICO Ward 1,56,31,24,1
,Town of NEWBOLD Ward 1,78,39,38,1
,Town of NEWBOLD Ward 2,139,71,68,0
,Town of NEWBOLD Wards 3-4,353,164,188,1
,Town of NOKOMIS Ward 1-2,198,86,112,0
,"Town of PELICAN Wards 1,3-4",243,96,147,0
,Town of PELICAN Ward 2,251,123,127,1
,Town of PIEHL Ward 1,22,12,10,0
,"Town of PINE LAKE Ward 1,4",300,116,184,0
,Town of PINE LAKE Ward 2-3,163,78,85,0
,Town of SCHOEPKE Ward 1,125,75,50,0
,Town of STELLA Ward 1,100,40,60,0
,Town of STELLA Ward 2,26,13,13,0
,Town of SUGAR CAMP Wards 1-2,358,204,154,0
,"Town of THREE LAKES Wards 1,3-4",408,255,153,0
,Town of THREE LAKES Ward 2,126,73,53,0
,Town of WOODBORO Ward 1,158,75,83,0
,Town of WOODRUFF Wards 1-3,525,257,267,1
,City of RHINELANDER Ward 1,150,54,94,2
,City of RHINELANDER Ward 2,69,20,49,0
,City of RHINELANDER Ward 3,76,34,42,0
,City of RHINELANDER Ward 4,30,15,15,0
,City of RHINELANDER Ward 5,114,43,71,0
,City of RHINELANDER Ward 6,128,42,85,1
,City of RHINELANDER Ward 7,20,13,7,0
,City of RHINELANDER Ward 8,78,23,55,0
,City of RHINELANDER Ward 9,183,56,126,1
,City of RHINELANDER Ward 10,162,68,94,0
,City of RHINELANDER Ward 11,167,49,118,0
,City of RHINELANDER Ward 12,2,2,0,0
,City of RHINELANDER Ward 13,136,55,81,0
,City of RHINELANDER Ward 14,20,8,12,0
,County Totals:,"7,120","3,373","3,736",11
OUTAGAMIE ,Town of BLACK CREEK Wards 1-2,147,94,53,0
,Town of BOVINA Ward 1,80,44,36,0
,Town of BOVINA Ward 2,50,30,20,0
,"Town of BUCHANAN Ward 1,4,6-9",634,304,330,0
,Town of BUCHANAN Ward 2-3,269,149,120,0
,Town of BUCHANAN Ward 5,2,1,1,0
,Town of BUCHANAN Ward 10,0,0,0,0
,Town of CENTER Wards 1-7,535,324,211,0
,Town of CICERO Wards 1-2,117,56,61,0
,Town of DALE Wards 1-2,279,169,110,0
,Town of DALE Ward 3,135,94,41,0
,Town of DEER CREEK Ward 1,70,44,26,0
,"Town of ELLINGTON Wards 1-2,4",278,199,79,0
,Town of ELLINGTON Ward 3,76,46,30,0
,Town of ELLINGTON Ward 5,33,14,19,0
,Town of FREEDOM Wards 1-6,576,306,270,0
,Town of FREEDOM Wards 7-8,217,133,84,0
,Town of GRAND CHUTE Wards 1-3,796,353,443,0
,Town of GRAND CHUTE Ward 4,78,34,44,0
,Town of GRAND CHUTE Wards 5-7,496,216,280,0
,"Town of GRAND CHUTE Wards 8-10,14",492,208,284,0
,Town of GRAND CHUTE Ward 11,29,15,14,0
,Town of GRAND CHUTE Wards 12-13,310,136,174,0
,Town of GRAND CHUTE Ward 15,378,166,212,0
,Town of GRAND CHUTE Ward 16,197,90,107,0
,Town of GRAND CHUTE Ward 17,142,53,89,0
,Town of GRAND CHUTE Ward 18,0,0,0,0
,"Town of GREENVILLE Wards 1-3,5",675,389,286,0
,Town of GREENVILLE Ward 4,22,12,10,0
,"Town of GREENVILLE Wards 6,9",282,179,103,0
,Town of GREENVILLE Wards 7-8,390,233,157,0
,Town of HORTONIA Ward 1,152,80,72,0
,Town of HORTONIA Ward 2,39,27,12,0
,Town of KAUKAUNA Ward 1,42,27,15,0
,Town of KAUKAUNA Ward 2,53,36,17,0
,Town of KAUKAUNA Ward 3,49,24,25,0
,Town of LIBERTY Ward 1,127,73,54,0
,Town of MAINE Ward 1,107,60,47,0
,Town of MAPLE CREEK Ward 1,80,44,36,0
,Town of ONEIDA Wards 1-5,346,190,156,0
,Town of ONEIDA Ward 6,24,16,8,0
,Town of OSBORN Wards 1-2,180,92,88,0
,Town of SEYMOUR Wards 1-2,139,92,47,0
,"Town of VANDENBROEK Wards 1,3",140,83,57,0
,Town of VANDENBROEK Ward 2,43,21,22,0
,Village of BEAR CREEK Ward 1,53,25,28,0
,Village of BLACK CREEK Wards 1-2,130,67,63,0
,Village of COMBINED LOCKS Wards 1-6,510,227,283,0
,VILLAGE OF HARRISON Wards 1-2,0,0,0,0
,Village of HORTONVILLE Wards 1-3,408,210,198,0
,VILLAGE OF HOWARD Ward 17,0,0,0,0
,Village of KIMBERLY Wards 1-6,628,246,382,0
,Village of KIMBERLY Wards 7-8,266,109,157,0
,Village of KIMBERLY Ward 9,0,0,0,0
,"Village of LITTLE CHUTE Wards 1,3,9-11,14-15",434,189,245,0
,"Village of LITTLE CHUTE Wards 2,13",27,9,18,0
,Village of LITTLE CHUTE Wards 4-5,260,120,140,0
,"Village of LITTLE CHUTE Wards 6,12",92,35,57,0
,Village of LITTLE CHUTE Wards 7-8,320,151,169,0
,Village of NICHOLS Ward 1,37,23,14,0
,Village of SHIOCTON Ward 1,90,41,49,0
,VILLAGE OF WRIGHTSTOWN Wards 4-5,31,19,12,0
,City of APPLETON Ward 1,202,56,146,0
,City of APPLETON Ward 2,344,88,256,0
,City of APPLETON Ward 3,655,112,543,0
,City of APPLETON Ward 4,195,86,109,0
,City of APPLETON Ward 5,1,1,0,0
,City of APPLETON Ward 6,146,48,98,0
,City of APPLETON Ward 7,304,101,203,0
,City of APPLETON Ward 8,320,37,283,0
,City of APPLETON Ward 9,228,96,132,0
,City of APPLETON Ward 10,208,64,144,0
,City of APPLETON Ward 11,141,55,86,0
,City of APPLETON Ward 15,290,136,154,0
,City of APPLETON Ward 16,225,92,133,0
,City of APPLETON Ward 17,251,106,145,0
,City of APPLETON Ward 18,184,79,105,0
,City of APPLETON Ward 19,407,201,206,0
,City of APPLETON Ward 20,233,119,114,0
,City of APPLETON Ward 21,7,5,2,0
,City of APPLETON Ward 22,7,3,4,0
,City of APPLETON Ward 23,0,0,0,0
,City of APPLETON Ward 24,116,35,81,0
,City of APPLETON Ward 25,227,83,144,0
,City of APPLETON Ward 27,341,110,231,0
,City of APPLETON Ward 28,245,94,151,0
,City of APPLETON Ward 29,359,121,238,0
,City of APPLETON Ward 30,225,67,158,0
,City of APPLETON Ward 33,299,102,197,0
,City of APPLETON Ward 34,86,13,73,0
,City of APPLETON Ward 35,297,123,174,0
,City of APPLETON Ward 36,390,162,228,0
,City of APPLETON Ward 37,200,96,104,0
,City of APPLETON Ward 38,368,177,191,0
,City of APPLETON Ward 39,140,57,83,0
,City of APPLETON Ward 40,6,3,3,0
,City of APPLETON Ward 41,25,14,11,0
,City of APPLETON Ward 42,260,130,130,0
,City of APPLETON Ward 43,233,86,147,0
,City of APPLETON Ward 48,23,7,16,0
,City of APPLETON Ward 49,25,10,15,0
,City of APPLETON Ward 50,47,18,29,0
,City of APPLETON Ward 51,340,92,248,0
,City of APPLETON Ward 52,37,10,27,0
,City of APPLETON Ward 53,6,0,6,0
,City of APPLETON Ward 54,285,110,175,0
,City of APPLETON Ward 55,124,48,76,0
,City of APPLETON Ward 56,1,1,0,0
,City of APPLETON Ward 57,0,0,0,0
,City of APPLETON Ward 58,0,0,0,0
,City of APPLETON Ward 59,1,0,1,0
,City of KAUKAUNA Wards 1-2,507,220,287,0
,City of KAUKAUNA Ward 3,145,70,75,0
,City of KAUKAUNA Wards 4-5,781,308,473,0
,City of KAUKAUNA Wards 6-7,784,311,473,0
,City of KAUKAUNA Ward 8,229,76,153,0
,"City of KAUKAUNA Wards 9-10,13",567,231,336,0
,City of KAUKAUNA Ward 12,0,0,0,0
,CITY OF NEW LONDON Wards 1-2,171,90,81,0
,City of SEYMOUR Wards 1-2,148,61,87,0
,City of SEYMOUR Wards 3-4,104,51,53,0
,City of SEYMOUR Wards 5-6,131,65,66,0
,County Totals:,"25,213","11,164","14,049",0
OZAUKEE ,Town of BELGIUM Ward 1-3,383,270,113,0
,Town of CEDARBURG Ward 1-2,372,247,125,0
,Town of CEDARBURG Ward 3-4,440,286,153,1
,"Town of CEDARBURG Ward 5-6,10",525,359,166,0
,Town of CEDARBURG Ward 7-9,421,280,141,0
,Town of FREDONIA Ward 1-4,624,468,155,1
,"Town of GRAFTON Wards 1-2,5",549,399,150,0
,Town of GRAFTON Wards 3-4,615,381,234,0
,Town of PORT WASHINGTON Ward 1-2,377,255,122,0
,Town of SAUKVILLE Ward 1-3,592,436,155,1
,VILLAGE OF BAYSIDE Ward 6,47,15,32,0
,Village of BELGIUM Ward 1-3,410,276,134,0
,Village of FREDONIA Ward 1-3,643,417,226,0
,Village of GRAFTON Ward 1-2,391,233,158,0
,Village of GRAFTON Ward 3-4,419,248,171,0
,Village of GRAFTON Ward 5-6,418,218,200,0
,Village of GRAFTON Ward 7-8,411,257,154,0
,Village of GRAFTON Ward 9-10,396,242,154,0
,Village of GRAFTON Ward 11-12,390,239,151,0
,Village of GRAFTON Ward 13-14,318,157,161,0
,VILLAGE OF NEWBURG Ward 3,18,15,3,0
,"Village of SAUKVILLE Wards 1,6-7",379,262,116,1
,Village of SAUKVILLE Wards 2-5,338,206,132,0
,Village of THIENSVILLE Ward 1-2,610,353,257,0
,Village of THIENSVILLE Ward 3-4,367,162,203,2
,City of CEDARBURG Ward 1,542,289,253,0
,"City of CEDARBURG Ward 2,9",499,290,209,0
,City of CEDARBURG Ward 3,470,229,241,0
,"City of CEDARBURG Ward 4,8",356,173,183,0
,City of CEDARBURG Ward 5,327,145,181,1
,City of CEDARBURG Ward 6,512,266,245,1
,City of CEDARBURG Ward 7,485,274,211,0
,City of MEQUON Wards 1-2,864,489,375,0
,City of MEQUON Wards 3-4,821,496,325,0
,City of MEQUON Wards 5-7B,884,575,309,0
,City of MEQUON Wards 8-10,775,433,342,0
,City of MEQUON Wards 11-12,613,341,272,0
,City of MEQUON Wards 13-14,504,296,208,0
,City of MEQUON Ward 15,410,188,222,0
,City of MEQUON Ward 16,320,180,140,0
,City of MEQUON Ward 17,398,195,203,0
,City of MEQUON Ward 18,238,148,90,0
,City of MEQUON Wards 19-21,868,459,409,0
,City of PORT WASHINGTON Ward 1,484,267,217,0
,City of PORT WASHINGTON Ward 2,395,193,202,0
,City of PORT WASHINGTON Ward 3,460,232,227,1
,City of PORT WASHINGTON Ward 4,327,166,161,0
,City of PORT WASHINGTON Ward 5,466,257,209,0
,City of PORT WASHINGTON Ward 6,296,152,144,0
,City of PORT WASHINGTON Ward 7,484,229,253,2
,County Totals:,"23,251","13,643","9,597",11
PEPIN ,Town of ALBANY Ward 1,142,78,64,0
,Town of DURAND Wards 1-2,145,78,67,0
,Town of FRANKFORT Ward 1,59,20,39,0
,Town of LIMA Wards 1-2,83,39,44,0
,Town of PEPIN Wards 1-2,125,61,64,0
,Town of STOCKHOLM Ward 1,60,24,36,0
,Town of WATERVILLE Wards 1-2,157,82,75,0
,Town of WAUBEEK Ward 1,83,49,34,0
,Village of PEPIN Wards 1-2,147,55,92,0
,Village of STOCKHOLM Ward 1,39,11,28,0
,City of DURAND Wards 1-3,421,221,200,0
,County Totals:,"1,461",718,743,0
PIERCE ,Town of CLIFTON Ward 1-3,398,193,205,0
,Town of DIAMOND BLUFF Ward 1,66,39,27,0
,Town of ELLSWORTH Wards 1-2,235,134,101,0
,Town of EL PASO Ward 1,106,60,46,0
,Town of GILMAN Ward 1,135,45,90,0
,Town of HARTLAND Ward 1,152,101,51,0
,Town of ISABELLE Ward 1,48,27,21,0
,Town of MAIDEN ROCK Ward 1,76,41,35,0
,Town of MARTELL Ward 1-2,214,109,105,0
,Town of OAK GROVE Ward 1-3,344,198,146,0
,Town of RIVER FALLS Ward 1-3,505,202,303,0
,Town of ROCK ELM Ward 1,77,32,45,0
,Town of SALEM Ward 1,67,28,39,0
,Town of SPRING LAKE Ward 1-2,105,62,43,0
,Town of TRENTON Ward 1-2,327,169,158,0
,Town of TRIMBELLE Ward 1-2,323,198,125,0
,Town of UNION Ward 1,71,51,20,0
,Village of BAY CITY Ward 1,78,53,25,0
,Village of ELLSWORTH Ward 1-4,468,241,227,0
,Village of ELMWOOD Ward 1,171,94,77,0
,Village of MAIDEN ROCK Ward 1,39,16,23,0
,Village of PLUM CITY Ward 1,85,47,38,0
,Village of SPRING VALLEY Wards 1-2,165,67,98,0
,City of PRESCOTT Wards 1-2,544,227,317,0
,City of PRESCOTT Wards 3-4,0,0,0,0
,City of PRESCOTT Ward 5,0,0,0,0
,City of PRESCOTT Ward 6,0,0,0,0
,City of RIVER FALLS Ward 5,137,58,79,0
,City of RIVER FALLS Wards 6-8,717,210,507,0
,City of RIVER FALLS Wards 9-11,268,99,169,0
,City of RIVER FALLS Wards 12-14,535,195,340,0
,County Totals:,"6,456","2,996","3,460",0
POLK ,Town of ALDEN Ward 1-4,388,218,170,0
,Town of APPLE RIVER Ward 1-2,159,86,73,0
,Town of BALSAM LAKE Ward 1-2,172,100,72,0
,Town of BEAVER Ward 1,103,53,50,0
,Town of BLACK BROOK Ward 1-2,205,128,77,0
,Town of BONE LAKE Ward 1,123,62,61,0
,Town of CLAM FALLS Ward 1,121,70,51,0
,Town of CLAYTON Ward 1,224,121,103,0
,Town of CLEAR LAKE Ward 1,82,51,31,0
,Town of EUREKA Ward 1-2,198,113,85,0
,Town of FARMINGTON Ward 1-2,258,164,94,0
,Town of GARFIELD Ward 1-3,203,114,89,0
,Town of GEORGETOWN Ward 1-2,116,60,56,0
,Town of JOHNSTOWN Ward 1,56,25,31,0
,Town of LAKETOWN Ward 1,103,58,45,0
,Town of LINCOLN Ward 1-4,442,225,217,0
,Town of LORAIN Ward 1,80,50,30,0
,Town of LUCK Ward 1-2,116,58,58,0
,Town of MCKINLEY Ward 1,61,40,21,0
,Town of MILLTOWN Ward 1-2,146,68,78,0
,Town of OSCEOLA Ward 1-5,329,171,158,0
,Town of ST. CROIX FALLS Wards 1-2,156,81,75,0
,Town of STERLING Ward 1,59,37,22,0
,Town of WEST SWEDEN Ward 1,191,104,87,0
,Village of BALSAM LAKE Ward 1-2,128,72,56,0
,Village of CENTURIA Ward 1,57,25,32,0
,Village of CLAYTON Ward 1,114,72,42,0
,Village of CLEAR LAKE Wards 1-2,132,72,60,0
,Village of DRESSER Ward 1,95,55,40,0
,Village of FREDERIC Ward 1-2,289,154,135,0
,Village of LUCK Ward 1-2,112,54,58,0
,Village of MILLTOWN Ward 1,81,51,30,0
,Village of OSCEOLA Ward 1-3,278,125,153,0
,VILLAGE OF TURTLE LAKE Ward 2A,5,5,0,0
,VILLAGE OF TURTLE LAKE Ward 2B,0,0,0,0
,City of AMERY Wards 1-5,572,264,308,0
,City of ST. CROIX FALLS Ward 1-4,449,205,244,0
,County Totals:,"6,403","3,411","2,992",0
PORTAGE ,Town of ALBAN Ward 1,206,99,106,1
,Town of ALMOND Ward 1,166,90,76,0
,Town of AMHERST Ward 1,138,63,75,0
,Town of AMHERST Ward 2,128,53,75,0
,Town of BELMONT Ward 1,131,72,59,0
,Town of BUENA VISTA Ward 1,199,120,79,0
